"news_id","source","title","content_text","published_at","url","topic_tags","extracted_at","is_fraud_related"
"6645","161.ру - новости Ростова-на-Дону","«Производить что-либо в России — это как выращивать ананасы на Луне»: ростовские дизайнеры — о состоянии легпрома","Они вынуждены закупать ткань и фурнитуру за границей","2026-04-23T04:34:49Z","https://161.ru/text/business/2026/04/23/76381209/","бизнес","2026-04-23T07:02:34Z",
"6646","161.ру - новости Ростова-на-Дону","Падают трафик и число покупок. К чему уже привели блокировки пользователей с VPN","Ограничение VPN ударило по бизнесу","2026-04-23T04:30:54Z","https://161.ru/text/economics/2026/04/23/76380689/","экономика","2026-04-23T07:02:34Z",
"6647","161.ру - новости Ростова-на-Дону","Дрон упал на дом, аэропорт закрыли: что известно о смертельной атаке беспилотников на Самарскую область","Регион оказывается под ударом второй день подряд","2026-04-23T04:06:03Z","https://161.ru/text/incidents/2026/04/23/76381487/","происшествия","2026-04-23T07:02:34Z",
"6648","161.ру - новости Ростова-на-Дону","Неприятный сюрприз от ФНС: кого заставят заплатить еще больше налогов","За просрочку грозит наказание","2026-04-23T03:45:01Z","https://161.ru/text/economics/2026/04/23/76304968/","экономика","2026-04-23T07:02:34Z",
"6649","161.ру - новости Ростова-на-Дону","Генерал Бастрыкин заинтересовался «Вредными советами». Правда ли их нельзя читать детям?","После претензий к «Вредным советам» мы спросили психолога, как их читать детям","2026-04-23T03:30:00Z","https://161.ru/text/culture/2026/04/23/76380831/","культура","2026-04-23T07:02:34Z",
"6650","161.ру - новости Ростова-на-Дону","Ждать ли отмены ЕГЭ в России? В Рособрнадзоре рассказали о судьбе экзамена","Эта форма проверки знаний обеспечивает честность и равные возможности для выпускников","2026-04-23T00:45:00Z","https://161.ru/text/education/2026/04/23/76381243/","образование","2026-04-23T07:02:34Z",
"6651","161.ру - новости Ростова-на-Дону","В России начался прием заявок для участия в акции «Бессмертный полк онлайн» — рассказываем, как подать анкету","Видеотрансляция пройдет 9 мая","2026-04-22T23:40:00Z","https://161.ru/text/world/2026/04/23/76381235/","страна и мир","2026-04-23T07:02:34Z",
"5603","161.ру - новости Ростова-на-Дону","Бывшую мисс Вселенная нашли убитой в собственной квартире — кого подозревают в расправе над красоткой","После гибели девушки начались протесты","2026-04-22T21:45:00Z","https://161.ru/text/incidents/2026/04/23/76381223/","происшествия","2026-04-23T07:02:34Z",
"5442","161.ру - новости Ростова-на-Дону","Трамп дал Ирану несколько дней на возвращение за стол переговоров: главное о войне на Ближнем Востоке","Собрали всё, что известно о ситуации на Ближнем Востоке","2026-04-22T20:35:00Z","https://161.ru/text/politics/2026/04/22/76381210/","политика","2026-04-23T07:02:34Z",
"4897","161.ру - новости Ростова-на-Дону","Погибли и пострадали люди, повреждены дома и машины: дроны массово атаковали регионы России","Под удар попало несколько регионов РФ","2026-04-22T18:51:00Z","https://161.ru/text/incidents/2026/04/22/76381195/","происшествия","2026-04-23T07:02:34Z",
"4898","161.ру - новости Ростова-на-Дону","Хотел помоложе: как разбогатевший на 15 миллионов игрок завел 16-летнюю любовницу и лишился головы","Буквально","2026-04-22T18:30:00Z","https://161.ru/text/criminal/2026/04/22/76378423/","криминал","2026-04-23T07:02:34Z",
"4899","161.ру - новости Ростова-на-Дону","Дуров заявил, что его вызвали на допрос в России. И показал «повестку»","По какому делу его вызывают, он не уточнил","2026-04-22T18:01:00Z","https://161.ru/text/gorod/2026/04/22/76381117/","город","2026-04-23T07:02:34Z",
"4900","161.ру - новости Ростова-на-Дону","Такая себе драма. Как новый фильм с Зендеей и Робертом Паттинсоном швыряет нас головой об пол и убивает ромкомы","Стоит ли смотреть свадебный антиромком от автора спорного «Героя наших снов»","2026-04-22T18:00:58Z","https://161.ru/text/culture/2026/04/22/76378460/","культура","2026-04-23T07:02:34Z",
"4901","161.ру - новости Ростова-на-Дону","«Мама разрешила ей остаться еще на день». Репортаж из Сызрани, где под завалами дома погибли бабушка и 12-летняя внучка","Что рассказали о трагедии сызранцы","2026-04-22T17:15:00Z","https://161.ru/text/incidents/2026/04/22/76381101/","происшествия","2026-04-23T07:02:34Z",
"4902","161.ру - новости Ростова-на-Дону","Платить за связь больше не придется, но есть нюанс: новости 22 апреля","Что произошло за сутки","2026-04-22T17:07:00Z","https://161.ru/text/world/2026/04/22/76380739/","страна и мир","2026-04-23T07:02:34Z",
"4903","161.ру - новости Ростова-на-Дону","Рабочая лошадка или магнит для денег: как номер автомобиля влияет на судьбу водителя","Разбор цифр от астролога","2026-04-22T17:00:35Z","https://161.ru/text/entertainment/2026/04/22/76381011/","развлечения","2026-04-23T07:02:34Z",
"4904","161.ру - новости Ростова-на-Дону","Крупный экспортер пшеницы из Ростова заплатит таможне почти полмиллиарда рублей","Новое название — дополнительные пошлины","2026-04-22T16:37:22Z","https://161.ru/text/economics/2026/04/22/76380636/","экономика","2026-04-23T07:02:34Z",
"4905","161.ру - новости Ростова-на-Дону","«Тут люди любят отдыхать»: африканцы завирусились в России с песней про пятницу. Видео","Всего в группе два артиста, и оба из Конго","2026-04-22T16:30:06Z","https://161.ru/text/entertainment/2026/04/22/76378954/","развлечения","2026-04-23T07:02:34Z",
"4795","161.ру - новости Ростова-на-Дону","Рубль оказался на грани обвала? Что на самом деле ждет российскую валюту","Рассказываем подробнее о происходящем на финансовом рынке","2026-04-22T16:03:00Z","https://161.ru/text/economics/2026/04/22/76380812/","экономика","2026-04-23T07:02:34Z",
"4796","161.ру - новости Ростова-на-Дону","Вместе покоряют небо: как семья летает на воздушном шаре и ставит рекорды — впечатляющая история","Из-за близости к солнцу у них частенько обгорают носы","2026-04-22T16:00:43Z","https://161.ru/text/entertainment/2026/04/22/76378549/","развлечения","2026-04-23T07:02:34Z",
"4622","161.ру - новости Ростова-на-Дону","Будет ли в РФ ограничено использование VPN в корпоративных целях? Отвечает Роскомнадзор","Сейчас сервисами пользуются более 1,7 тысячи предприятий в России","2026-04-22T15:40:00Z","https://161.ru/text/gorod/2026/04/22/76380839/","город","2026-04-23T07:02:34Z",
"4623","161.ру - новости Ростова-на-Дону","«Это пока всё, что у нас есть»: власти не определились, на чьи деньги должны строить корпус ЦГБ Ростова","Разговор о нем идет с 2018 года","2026-04-22T15:26:32Z","https://161.ru/text/gorod/2026/04/22/76380732/","город","2026-04-23T07:02:34Z",
"4482","161.ру - новости Ростова-на-Дону","«Оживленные с помощью ИИ портреты». Пройдет ли шествие «Бессмертного полка» в Ростове?","Последние два года его не было","2026-04-22T15:07:00Z","https://161.ru/text/gorod/2026/04/22/76380423/","город","2026-04-23T07:02:34Z",
"4341","161.ру - новости Ростова-на-Дону","«Был комментарий, что выиграл протез, а не я»: молодая мама после трех ампутаций победила на конкурсе красоты","Екатерина Рашева завоевала титул «Миссис Архангельская область». Видео","2026-04-22T14:30:40Z","https://161.ru/text/style/2026/04/22/76378918/","стиль и красота","2026-04-23T07:02:34Z",
"2680","161.ру - новости Ростова-на-Дону","«Не страшно заходить в горящий дом, страшно видеть погибших». Простой пожарный завоевал сердца тысяч подписчиков","Девушки, берегитесь, он украдет и ваше","2026-04-22T14:00:43Z","https://161.ru/text/world/2026/04/22/76378800/","страна и мир","2026-04-23T07:02:34Z",
"2681","161.ру - новости Ростова-на-Дону","Российские школьники взяли золото и серебро на Менделеевской олимпиаде по химии","Без медалей не остался ни один участник нашей сборной","2026-04-22T13:56:56Z","https://161.ru/text/education/2026/04/22/76380693/","образование","2026-04-23T07:02:34Z",
"2682","161.ру - новости Ростова-на-Дону","«Шум, разбитая дорога, пыль». Ростовчане жалуются на склад стройматериалов у себя под окнами","Куча обращений и ноль результатов","2026-04-22T13:41:00Z","https://161.ru/text/gorod/2026/04/22/76375886/","город","2026-04-23T07:02:34Z",
"2683","161.ру - новости Ростова-на-Дону","Георгиевские ленточки в этом году будут раздавать более чем в 30 странах мира","В нескольких регионах России и за рубежом акция уже стартовала","2026-04-22T13:38:35Z","https://161.ru/text/world/2026/04/22/76380524/","страна и мир","2026-04-23T07:02:34Z",
"2684","161.ру - новости Ростова-на-Дону","«Стараемся обходиться без сюрпризов»: футболист Матвей Сафонов раскрыл секрет счастливых отношений","Даже если один предпочитает моду, а другой спорт, это может сблизить, а не развести","2026-04-22T13:30:00Z","https://161.ru/text/entertainment/2026/04/22/76380393/","развлечения","2026-04-23T07:02:34Z",
"2685","161.ру - новости Ростова-на-Дону","Вы грамотный человек или зря в школу ходили? Сложный тест по русскому языку","Проверьте, сколько правильных ответов вы наберете","2026-04-22T13:00:00Z","https://161.ru/text/education/2026/04/22/76378882/","образование","2026-04-23T07:02:34Z",
"2686","161.ру - новости Ростова-на-Дону","Россиян не пустили в мавзолей на Красной площади в день рождения Ленина, а теперь его закроют на месяц","Зато в усыпальницу пускали коммунистов по приглашениям","2026-04-22T12:45:00Z","https://161.ru/text/world/2026/04/22/76380359/","страна и мир","2026-04-23T07:02:34Z",
"2687","161.ру - новости Ростова-на-Дону","«Стыдоба»: почему саженцы для донских лесополос закупают у соседей, хотя есть свои питомники?","Растения везут из Волгограда и Ставрополья","2026-04-22T12:39:00Z","https://161.ru/text/ecology/2026/04/22/76378839/","экология","2026-04-23T07:02:34Z",
"2688","161.ру - новости Ростова-на-Дону","Миллион за молчание. Пациента реабилитационного центра мучили и унижали вместо лечения, но он отказался от возмездия","Еще одна история пострадавшего от ребцентра «Свобода»","2026-04-22T12:30:00Z","https://161.ru/text/incidents/2026/04/22/76378368/","происшествия","2026-04-23T07:02:34Z",
"2689","161.ру - новости Ростова-на-Дону","«Мы медленно умирали от рака». Как в СССР строили города вокруг урановых рудников и что с ними стало","Рассказываем о радиационном следе Советского Союза в России и странах СНГ","2026-04-22T12:00:40Z","https://161.ru/text/world/2026/04/22/76378764/","страна и мир","2026-04-23T07:02:34Z",
"2690","161.ру - новости Ростова-на-Дону","Переводы по СБП с мая станут платными, но не все: подробности","Рассказываем, кого это коснется в первую очередь","2026-04-22T11:42:00Z","https://161.ru/text/economics/2026/04/22/76380138/","экономика","2026-04-23T07:02:34Z",
"2691","161.ру - новости Ростова-на-Дону","«Да, наконец-то»: главную магистраль в Суворовском начали ремонтировать, несмотря на статус бесхозности","Ростовские власти пошли в суд, чтобы принять дорогу на баланс","2026-04-22T11:31:00Z","https://161.ru/text/transport/2026/04/22/76380005/","дороги и транспорт","2026-04-23T07:02:34Z",
"2692","161.ру - новости Ростова-на-Дону","Нейросети могут стоить вам карьеры: за что реально штрафуют и увольняют","Рассказываем о запретах на использование ИИ","2026-04-22T11:22:00Z","https://161.ru/text/world/2026/04/22/76380058/","страна и мир","2026-04-23T07:02:34Z",
"2693","161.ру - новости Ростова-на-Дону","«Причина банальна»: почему Николай Басков не общается с единственным сыном","Последний раз он видел его совсем маленьким ребенком","2026-04-22T11:00:00Z","https://161.ru/text/family/2026/04/22/76379241/","семья","2026-04-23T07:02:34Z",
"2694","161.ру - новости Ростова-на-Дону","Близимся к пустыне? Ростовская область оказалась в числе самых малолесных регионов","«Если брать Россию, то в 20 раз меньше»","2026-04-22T10:34:00Z","https://161.ru/text/ecology/2026/04/22/76379741/","экология","2026-04-23T07:02:34Z",
"2695","161.ру - новости Ростова-на-Дону","Желание властей вне срока давности. Как спустя 20 лет у людей решили забрать землю и снести дома у моря под Туапсе","Владельцы не понимают, как это возможно: при покупке проблем с документами не было","2026-04-22T10:30:22Z","https://161.ru/text/realty/2026/04/22/76378074/","недвижимость","2026-04-23T07:02:34Z",
"2696","161.ру - новости Ростова-на-Дону","«Если выбили первые показания, это серьезно затруднит защиту»: российские адвокаты заявили о постоянном давлении силовиков","Защищать людей, по их словам, стало опасно","2026-04-22T10:00:59Z","https://161.ru/text/criminal/2026/04/22/76377950/","криминал","2026-04-23T07:02:34Z",
"2697","161.ру - новости Ростова-на-Дону","На Дону заплатят участникам Великой Отечественной войны. Сколько?","На всё выделили чуть больше трех миллионов рублей","2026-04-22T09:38:00Z","https://161.ru/text/gorod/2026/04/22/76379832/","город","2026-04-23T07:02:34Z",
"2698","161.ру - новости Ростова-на-Дону","Это больше не Лерчек: визажист Чекалиной показала, как она выглядит после химиотерапии","Болезнь наложила сильный отпечаток на внешность блогера","2026-04-22T09:30:00Z","https://161.ru/text/health/2026/04/22/76379869/","здоровье","2026-04-23T07:02:34Z",
"2699","161.ру - новости Ростова-на-Дону","Как пережить аллергию в период цветения: все способы","Этот сезон требует особого внимания","2026-04-22T09:09:00Z","https://161.ru/text/health/2026/04/22/76379763/","здоровье","2026-04-23T07:02:34Z",
"2700","161.ру - новости Ростова-на-Дону","Ресторан вместо бассейна. Что должны были построить и не построили в парке Плевен, который отобрали у арендатора?","Разбираем решение суда","2026-04-22T08:33:00Z","https://161.ru/text/gorod/2026/04/22/76377608/","город","2026-04-23T07:02:34Z",
"2701","161.ру - новости Ростова-на-Дону","«Стране нужны деньги». Как новые сборы с бизнеса ударят по кошелькам обычных россиян","Интервью с омбудсменом","2026-04-22T08:30:24Z","https://161.ru/text/business/2026/04/22/76377862/","бизнес","2026-04-23T07:02:34Z",
"2702","161.ру - новости Ростова-на-Дону","Из-под завалов достают тела, занятия в школах отменены: что известно об обрушении дома в Самарской области","ЧП случилось из-за атаки БПЛА","2026-04-22T07:45:00Z","https://161.ru/text/incidents/2026/04/22/76379590/","происшествия","2026-04-23T07:02:34Z",
"2703","161.ру - новости Ростова-на-Дону","«Можно посочувствовать». Экс-владелец участка на Шолохова, где срубили полувековые ели, пожаловался в Верховный суд","Разрешение на строительство было законно, считает он","2026-04-22T07:28:00Z","https://161.ru/text/gorod/2026/04/22/76379458/","город","2026-04-23T07:02:34Z",
"2704","161.ру - новости Ростова-на-Дону","Только «вау-эффект»: пять самых модных комнатных цветов — фото и правила ухода","Специалист назвала пять самых модных комнатных цветов","2026-04-22T07:00:23Z","https://161.ru/text/house/2026/04/22/76379034/","мой дом","2026-04-23T07:02:34Z",
"2705","161.ру - новости Ростова-на-Дону","«Жить вам осталось два месяца»: истории звезд, которые сумели победить рак","После диагноза они не поставили крест на своей жизни, а начали новую главу","2026-04-22T07:00:00Z","https://161.ru/text/health/2026/04/22/76379297/","здоровье","2026-04-23T07:02:34Z",
"2706","161.ру - новости Ростова-на-Дону","Деньги за VPN списывать не будут? Операторы добиваются отсрочки — детали","В стране пока не готовы к таким изменениям","2026-04-22T06:48:00Z","https://161.ru/text/world/2026/04/22/76379510/","страна и мир","2026-04-23T07:02:34Z",
"2707","161.ру - новости Ростова-на-Дону","Ключевая ставка снова снизится? Прогноз","Разбираемся, чего ждать","2026-04-22T06:22:00Z","https://161.ru/text/economics/2026/04/22/76379398/","экономика","2026-04-23T07:02:34Z",
"2708","161.ру - новости Ростова-на-Дону","«Пока получается трамвайный тупик»: колонка эксперта о ростовском электротранспорте","Покупать вагоны и строить рельсы — хорошо. Но этого мало","2026-04-22T06:06:00Z","https://161.ru/text/transport/2026/04/22/76378210/","дороги и транспорт","2026-04-23T07:02:34Z",
"2709","161.ру - новости Ростова-на-Дону","Во всем опять виноваты ленивые зумеры? Как решить проблему нехватки кадров и заставить молодых работать дворниками","Эксперты говорят о необходимости системных решений, а не поиска крайних","2026-04-22T06:00:00Z","https://161.ru/text/economics/2026/04/22/76378295/","экономика","2026-04-23T07:02:34Z",
"2710","161.ру - новости Ростова-на-Дону","Дроны врезаются прямо в дома: из-за ночной атаки пострадали 12 регионов","За ночь сбили 155 беспилотников","2026-04-22T05:33:00Z","https://161.ru/text/incidents/2026/04/22/76379396/","происшествия","2026-04-23T07:02:34Z",
"2711","161.ру - новости Ростова-на-Дону","Родители вынуждены платить за подготовку детей к ЕГЭ: сколько тысяч приходится отдавать в погоне за хорошим результатом","В месяц услуги репетиторов стоят более 20 тысяч рублей","2026-04-22T05:15:00Z","https://161.ru/text/education/2026/04/22/76379365/","образование","2026-04-23T07:02:34Z",
"2712","161.ру - новости Ростова-на-Дону","В Госдуме хотят ввести «белый список» для VPN — что это значит","Депутат призвал не ограничивать сервисы полностью","2026-04-22T05:03:00Z","https://161.ru/text/world/2026/04/22/76379360/","страна и мир","2026-04-23T07:02:34Z",
"2713","161.ру - новости Ростова-на-Дону","Зима снова близко? На Дону ожидается мокрый снег","Прогноз погоды на среду, 22 апреля","2026-04-22T05:01:00Z","https://161.ru/text/spring/2026/04/22/76378685/","весна","2026-04-23T07:02:34Z",
"2714","161.ру - новости Ростова-на-Дону","Базовый минимум? Что такое биде и чем его можно заменить","Рассказываем, какие альтернативы предлагает современный фаянсовый рынок","2026-04-22T05:00:15Z","https://161.ru/text/house/2026/04/22/76376937/","мой дом","2026-04-23T07:02:34Z",
"2715","161.ру - новости Ростова-на-Дону","Россияне стали чаще пользоваться наличкой. С чем это связано — разбор","Эксперты выделяют несколько причин, в том числе отключение мобильного интернета","2026-04-22T04:30:58Z","https://161.ru/text/economics/2026/04/22/76378616/","экономика","2026-04-23T07:02:34Z",
"2716","161.ру - новости Ростова-на-Дону","Три тренера за неделю и две победы за сезон: как «Ростов» в последний раз вылетел из РПЛ","Возвращаемся в далекий 2007-й","2026-04-22T04:30:00Z","https://161.ru/text/sport/2026/04/22/76378650/","спорт","2026-04-23T07:02:34Z",
"2717","161.ру - новости Ростова-на-Дону","Продать и купить жилье станет проще: появился новый способ","Механизм заработает уже летом","2026-04-22T03:39:00Z","https://161.ru/text/realty/2026/04/22/76379247/","недвижимость","2026-04-23T07:02:34Z",
"2718","161.ру - новости Ростова-на-Дону","«Набрали золотое очко». Тренер «Ростова» Альба — о ничьей с ЦСКА","Желто-синие занимают десятое место в РПЛ","2026-04-22T03:15:47Z","https://161.ru/text/sport/2026/04/22/76379211/","спорт","2026-04-23T07:02:34Z",
"2719","161.ру - новости Ростова-на-Дону","Подъезд жилого дома обрушился из-за атаки дронов в Самарской области: под завалами застряли люди","Спасатели эвакуируют всех жильцов","2026-04-22T03:05:00Z","https://161.ru/text/incidents/2026/04/22/76379206/","происшествия","2026-04-23T07:02:34Z",
"2720","161.ру - новости Ростова-на-Дону","Сызрань скорбит и отменяет мероприятия, люди несут гуманитарку, ввели режим ЧС — онлайн","Рассказываем всё, что известно о ЧП на данный момент","2026-04-22T02:52:58Z","https://161.ru/text/incidents/2026/04/22/76379198/","происшествия","2026-04-23T07:02:34Z",
"2721","161.ру - новости Ростова-на-Дону","Дачников разоряют щедрые акции на товары для сада. Как распознать опасную схему обмана","Покупайте весь инвентарь и рассаду только в проверенных местах","2026-04-22T02:47:00Z","https://161.ru/text/world/2026/04/22/76379146/","страна и мир","2026-04-23T07:02:34Z",
"2722","161.ру - новости Ростова-на-Дону","Школьную программу очистят от лишних тем: как это скажется на учениках","Изменения коснутся 4-9-х классов","2026-04-22T01:11:00Z","https://161.ru/text/education/2026/04/22/76379086/","образование","2026-04-23T07:02:34Z",
"2723","161.ру - новости Ростова-на-Дону","Пособие для семей начнут считать по-новому: когда это произойдет и какие суммы ждать","Выплаты смогут получать больше россиян","2026-04-21T22:49:00Z","https://161.ru/text/economics/2026/04/22/76379071/","экономика","2026-04-23T07:02:34Z",
"2724","161.ру - новости Ростова-на-Дону","Мир снова под угрозой? США и Иран отменили новые переговоры: главное о войне на Ближнем Востоке","Ситуация в Персидском заливе: ключевые события за сутки","2026-04-21T21:04:00Z","https://161.ru/text/politics/2026/04/22/76379058/","политика","2026-04-23T07:02:34Z",
"2725","161.ру - новости Ростова-на-Дону","Заплатили несколько десятков тысяч и разбились: что известно о погибших туристах в горах Бурятии","За восхождение каждый участник группы заплатил больше 20 тысяч рублей","2026-04-21T19:29:00Z","https://161.ru/text/incidents/2026/04/21/76378985/","происшествия","2026-04-23T07:02:34Z",
"2726","161.ру - новости Ростова-на-Дону","«Ростов» сыграл вничью с ЦСКА в матче РПЛ","Желто-синие остались на десятом месте","2026-04-21T19:12:02Z","https://161.ru/text/sport/2026/04/21/76379054/","спорт","2026-04-23T07:02:34Z",
"2727","161.ру - новости Ростова-на-Дону","Мокрые рубашки и надменные взгляды: 7 фильмов для тех, кто без ума от «Гордости и предубеждения»","Изысканные костюмы, остроумные диалоги и любовь, перед которой не устоять","2026-04-21T19:00:26Z","https://161.ru/text/entertainment/2026/04/21/76378030/","развлечения","2026-04-23T07:02:34Z",
"2728","161.ру - новости Ростова-на-Дону","«Она не моя бывшая». Звезда «Универа» пошел судиться с матерью своего тайного ребенка","Арарат Кещян впервые объяснил, откуда у него взялся 14-летний сын","2026-04-21T18:30:00Z","https://161.ru/text/entertainment/2026/04/21/76377302/","развлечения","2026-04-23T07:02:34Z",
"2729","161.ру - новости Ростова-на-Дону","В Стамбуле полным ходом идет фестиваль тюльпанов: фоторепортаж цветочного безумия","Город утонул в 30 миллионах бутонов","2026-04-21T18:00:15Z","https://161.ru/text/world/2026/04/21/76376233/","страна и мир","2026-04-23T07:02:34Z",
"2730","161.ру - новости Ростова-на-Дону","Новый налог на гаджеты: сколько придется доплачивать за покупку смартфона или ноутбука. Новости 21 апреля","Что произошло за сутки","2026-04-21T17:00:00Z","https://161.ru/text/world/2026/04/21/76378851/","страна и мир","2026-04-23T07:02:34Z",
"2731","161.ру - новости Ростова-на-Дону","«Чувство растворилось»: как сложилась личная жизнь Харламова и Асмус после скандального развода","Прошло почти шесть лет с расставания одной из самых ярких пар российского шоу‑бизнеса","2026-04-21T17:00:00Z","https://161.ru/text/relations/2026/04/21/76378242/","он и она","2026-04-23T07:02:34Z",
"2732","161.ру - новости Ростова-на-Дону","«До чего довели наших детей»: в Архангельской области 15-летняя школьница пропала после несданного экзамена по географии","Ее ищут три недели по всей стране","2026-04-21T16:45:00Z","https://161.ru/text/incidents/2026/04/21/76378831/","происшествия","2026-04-23T07:02:34Z",
"2733","161.ру - новости Ростова-на-Дону","Клава Кока готовится к свадьбе с лучшим другом: что известно о ее прошлых неудачных романах. Видео","Певица и блогер Дима Масленников долго держали отношения в секрете","2026-04-21T16:30:22Z","https://161.ru/text/entertainment/2026/04/21/76376409/","развлечения","2026-04-23T07:02:34Z",
"2734","161.ру - новости Ростова-на-Дону","«Симбиоз футуризма, зелени и человеческого гения». Туристка — о том, как осмотреть Сингапур за 96 часов и влюбиться навсегда","Европа — дорого, Дубай — опасно: ищем альтернативы, где сейчас хорошо","2026-04-21T16:00:24Z","https://161.ru/text/world/2026/04/21/76376106/","страна и мир","2026-04-23T07:02:34Z",
"2735","161.ру - новости Ростова-на-Дону","«Травить не вариант — тут же собаки, подохнут еще»: группировку жирных крыс заметили в центре Ростова — видео","Они бегут к кормушке для голубей и мусорке","2026-04-21T15:41:00Z","https://161.ru/text/gorod/2026/04/21/76378730/","город","2026-04-23T07:02:34Z",
"2736","161.ру - новости Ростова-на-Дону","Тарифы за коммуналку поднимают необоснованно: что поручил Путин","По словам президента, рост цен часто происходит бесконтрольно","2026-04-21T15:21:00Z","https://161.ru/text/economics/2026/04/21/76378830/","экономика","2026-04-23T07:02:34Z",
"2737","161.ру - новости Ростова-на-Дону","«Утиль» проехался по прайсам. Смотрим «оттаявшие» цены на Lada и иномарки","Бюджетным теперь впору называть сегмент ценой менее 2 миллионов рублей. Такие времена…","2026-04-21T15:00:59Z","https://161.ru/text/auto/2026/04/21/76377910/","авто","2026-04-23T07:02:34Z",
"2738","161.ру - новости Ростова-на-Дону","Город на подиуме. Как прошла Ростовская неделя моды: фоторепортаж","Побывали на вечернем показе","2026-04-21T14:35:00Z","https://161.ru/text/style/2026/04/21/76376319/","стиль и красота","2026-04-23T07:02:34Z",
"2739","161.ру - новости Ростова-на-Дону","Петербург по-белорусски или советская глубинка? Турист рассказал, стоит ли ехать на выходные в Гомель: фото","Город оставил после себя двойственное впечатление","2026-04-21T14:30:00Z","https://161.ru/text/world/2026/04/21/76376736/","страна и мир","2026-04-23T07:02:34Z",
"2740","161.ру - новости Ростова-на-Дону","Мужик с того самого фото: дизайнер неожиданно для себя стал мемом и запустил флешмоб, который подхватили даже звёзды","Житель Новосибирска случайно стал лицом интернета: его аватарку начали копировать тысячи людей","2026-04-21T14:00:00Z","https://161.ru/text/entertainment/2026/04/21/76376697/","развлечения","2026-04-23T07:02:34Z",
"2741","161.ру - новости Ростова-на-Дону","Путин вмешался в вопрос восстановления домов в Дагестане: детали","Он призвал помочь даже тем, у кого жилье было построено незаконно","2026-04-21T13:27:05Z","https://161.ru/text/world/2026/04/21/76378677/","страна и мир","2026-04-23T07:02:34Z",
"2742","161.ру - новости Ростова-на-Дону","Обрыв связи. Грозы и град идут на Ростовскую область","Ветер усилится","2026-04-21T13:17:00Z","https://161.ru/text/spring/2026/04/21/76378642/","весна","2026-04-23T07:02:34Z",
"2743","161.ру - новости Ростова-на-Дону","«Сейчас каждая следующая игра для нас самая главная». Тренер «Ростова» Альба — о матче с ЦСКА","Желто-синие занимают десятое место в РПЛ","2026-04-21T13:03:00Z","https://161.ru/text/sport/2026/04/21/76378511/","спорт","2026-04-23T07:02:34Z",
